domain,activity,samples,users,vector_norm_mean,vector_norm_std,vector_norm_p05,vector_norm_p50,vector_norm_p95,x-axis_mean,x-axis_std,x-axis_p05,x-axis_p50,x-axis_p95,y-axis_mean,y-axis_std,y-axis_p05,y-axis_p50,y-axis_p95,z-axis_mean,z-axis_std,z-axis_p05,z-axis_p50,z-axis_p95
wisdm,Downstairs,100192,32,1.1070970296859741,0.4498108923435211,0.44848241806030276,1.0386143326759338,1.9516331851482391,0.048204606778208856,0.5059463453846896,-0.7219590787883733,0.008157729703823427,0.9615923888381863,0.8790182875765855,0.4989316910385724,0.08157729703823427,0.8749165107350625,1.7263795485716327,0.06991974758377086,0.3784090702687972,-0.5231144172576772,0.051388890191859604,0.7069444713536223
wisdm,Jogging,324600,32,1.4195250272750854,0.7028133273124695,0.35708415508270264,1.393335998058319,2.574580955505371,-0.023158188064479942,0.951783936439166,-1.8018385483319994,-0.023453472898492353,1.7263795485716327,0.5743452687679294,0.9507668204418914,-0.9768881320328553,0.510877822701942,1.9955846287978056,-0.015884141837883423,0.6070309926689744,-1.0194444586071696,-0.0540449592878302,1.0513274155802441
wisdm,Sitting,59939,23,1.004160761833191,0.03994126617908478,0.9403009593486786,1.015335202217102,1.0463419795036315,0.18928684865599144,0.48528174471534263,-0.6526183763058742,0.15601658058562304,0.840246159493813,0.1889915275171489,0.3321953096221108,-0.327328904365915,0.25390933703150415,0.7780434705021593,0.668904925389933,0.38092112606886686,0.050985810648896415,0.8277777834428679,0.9850458617366787
wisdm,Standing,48393,24,1.0008347034454346,0.03638753294944763,0.9362034201622009,1.008270502090454,1.0398886919021606,-0.12015001770850578,0.32989379869060786,-0.7780434705021593,-0.11420821585352799,0.37525556637587765,0.9164613544835545,0.12890476387520125,0.5863368224623088,0.9615923888381863,1.0197162129779282,0.05915766753252685,0.14039497210415985,-0.15295743194668926,0.06628155384356534,0.29265855312466543
wisdm,Upstairs,122598,32,1.0931932926177979,0.4357047975063324,0.4209611311554909,1.0395835041999817,1.9062074601650234,0.03897119968647871,0.5609755077750099,-0.8830742404388859,0.015295743194668924,0.9717895509679656,0.828975827399345,0.4977421594618847,-0.046906945796984706,0.8749165107350625,1.6101319002921488,0.03306505483807564,0.3642200553682078,-0.4958333375821509,0.008333334013144142,0.6760718492043665
wisdm,Walking,417901,36,1.1688621044158936,0.4794505536556244,0.4632093608379364,1.1271134614944458,2.0310096740722656,0.15782337965991192,0.5943870248907622,-0.739294254408998,0.1009519050848149,1.2542509419628518,0.8876865175418801,0.5115414853361625,0.09075474295503562,0.8942911187816431,1.7304584134235441,-0.011483200657354671,0.41001587868845035,-0.582257957610397,-0.05812382413974191,0.7698857407983358
arduino,Downstairs,40080,2,1.1409565210342407,0.5978084206581116,0.4245242729783058,1.037112295627594,2.0977266311645493,-0.728755459052598,0.5135555953768796,-1.655645751953125,-0.63214111328125,-0.099853515625,0.10540490978492234,0.7530091522167396,-1.070806884765625,0.10565185546875,1.1490478515625,0.30944544931133827,0.4363980429563974,-0.357177734375,0.3065185546875,0.9107727050781245
arduino,Jogging,40080,2,1.5702238082885742,1.015924334526062,0.38321924209594727,1.3414922952651978,3.6802296638488743,-0.8869804153899232,1.0486803759942158,-3.01771240234375,-0.69488525390625,0.45557861328124893,0.1535407852507875,1.0368331240300193,-1.3763427734375,0.059326171875,1.996594238281249,0.12115534860454871,0.7056655874184664,-1.012347412109375,0.135986328125,1.179931640625
arduino,Sitting,40060,2,0.9979481101036072,0.010804119519889355,0.992237138748169,0.9964563846588135,1.0049805343151093,0.19952268862331501,0.017626200420868043,0.173333740234375,0.190185546875,0.2227783203125,0.27824401398390697,0.36347619011949667,-0.099365234375,-0.00335693359375,0.6466064453125,0.8556265912410681,0.11943913089594543,0.73193359375,0.8092041015625,0.978515625
arduino,Standing,40060,2,0.9956061840057373,0.008914961479604244,0.9855906754732132,0.9979467689990997,1.0018121302127838,-0.704808525127348,0.16457310588777618,-0.8763427734375,-0.64813232421875,-0.5225830078125,-0.17117941252184224,0.6590265991019708,-0.843505859375,-0.70526123046875,0.4996337890625,0.05588711049636483,0.027019343749835896,0.00927734375,0.06103515625,0.093505859375
arduino,Upstairs,40180,2,1.1334820985794067,0.632391095161438,0.34793992042541505,1.0288879871368408,2.1501556158065753,-0.7047683222131269,0.5357186058149616,-1.608038330078125,-0.6488037109375,0.018072509765624467,0.098729773028209,0.781657594740818,-1.037841796875,0.07659912109375,1.263439941406249,0.343589421942081,0.4027624326078566,-0.202880859375,0.306640625,1.0031982421874979
arduino,Walking,40160,2,1.1378124952316284,0.4730283319950104,0.5244380533695221,1.0518433451652527,1.9761569678783415,-0.9409318840361212,0.37312235741831606,-1.5479736328125,-0.9000244140625,-0.432373046875,0.3066989792295661,0.43305423108502994,-0.2454833984375,0.2431640625,1.0694641113281245,0.12398199256197864,0.4436533817221762,-0.503179931640625,0.0660400390625,0.9624206542968734
