domain,activity,windows,mean_vector_norm_mean,mean_vector_norm_std,sample_norm_mean,sample_norm_std,dynamic_rms_mean,dynamic_rms_std,window_mean_x_mean,window_mean_x_std,window_mean_y_mean,window_mean_y_std,window_mean_z_mean,window_mean_z_std
wisdm,Walking,8252,1.030877709388733,0.043571457266807556,1.1694023609161377,0.48003506660461426,0.7149975895881653,0.14868371188640594,0.1585555076599121,0.4180876314640045,0.887741208076477,0.23871785402297974,-0.011964806355535984,0.13948595523834229
wisdm,Jogging,6390,0.8985716104507446,0.1422278732061386,1.421425223350525,0.703446626663208,1.2839462757110596,0.19775985181331635,-0.024139711633324623,0.5249162316322327,0.5728693008422852,0.45333418250083923,-0.0163729190826416,0.13259238004684448
wisdm,Upstairs,2213,0.9905624985694885,0.08017419278621674,1.0941319465637207,0.43684127926826477,0.5982859134674072,0.2058328241109848,0.045506250113248825,0.43929022550582886,0.8285958766937256,0.2626071572303772,0.029936807230114937,0.19017179310321808
wisdm,Downstairs,1779,1.002905249595642,0.05992373079061508,1.1090906858444214,0.4528251588344574,0.6309764385223389,0.16610638797283173,0.051502715796232224,0.3566868007183075,0.8808159232139587,0.2548440098762512,0.0692562460899353,0.18426406383514404
wisdm,Sitting,1155,1.0033715963363647,0.0339425764977932,1.0045166015625,0.03898399695754051,0.02418108470737934,0.04562293738126755,0.18512380123138428,0.48449844121932983,0.19010435044765472,0.32885387539863586,0.6734359860420227,0.3756283223628998
wisdm,Standing,920,0.9991682767868042,0.026342349126935005,1.0009297132492065,0.034925054758787155,0.046570152044296265,0.04336190223693848,-0.12027735263109207,0.327486127614975,0.9164724349975586,0.12596262991428375,0.06089961901307106,0.13349252939224243
arduino,Walking,801,1.0144319534301758,0.03690304979681969,1.1380970478057861,0.47337576746940613,0.678753137588501,0.16795729100704193,-0.9410749673843384,0.061409518122673035,0.30670613050460815,0.1602524071931839,0.12383411824703217,0.07717835158109665
arduino,Jogging,798,1.0781686305999756,0.12131494283676147,1.571320652961731,1.0164480209350586,1.4986939430236816,0.28101077675819397,-0.8875839710235596,0.1184215173125267,0.15431949496269226,0.5771887898445129,0.12094613164663315,0.061211612075567245
arduino,Upstairs,800,0.9890941381454468,0.07806788384914398,1.1335729360580444,0.6327863335609436,0.8187658786773682,0.17500458657741547,-0.7052149772644043,0.14526136219501495,0.09884613007307053,0.5739221572875977,0.34293338656425476,0.09598074108362198
arduino,Downstairs,798,1.0077214241027832,0.06129327043890953,1.140966534614563,0.5975344777107239,0.7836397290229797,0.15969246625900269,-0.7288140058517456,0.1416153907775879,0.10449289530515671,0.5940903425216675,0.3095847964286804,0.09126785397529602
arduino,Sitting,798,0.9978834986686707,0.0038063086103647947,0.9979386925697327,0.010807898826897144,0.006777532864362001,0.012907027266919613,0.19958855211734772,0.016085544601082802,0.27847063541412354,0.36333054304122925,0.8555580377578735,0.11898365616798401
arduino,Standing,797,0.9954829216003418,0.004173989873379469,0.9956032633781433,0.008923618122935295,0.011793864890933037,0.012754772789776325,-0.7046964168548584,0.16432175040245056,-0.17167840898036957,0.6589406728744507,0.055757518857717514,0.024894801899790764
